,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,8.8621985,2024-01-20 15:43:09.549247,2024-01-20 15:45:42.933764,0 days 00:02:33.384517,512,0.9,8.43689452229577e-05,COMPLETE
1,1,8.862950999999999,2024-01-20 15:45:42.934765,2024-01-20 15:50:30.258017,0 days 00:04:47.323252,8,0.999,0.5511156338527459,COMPLETE
2,2,8.9369206,2024-01-20 15:50:30.258017,2024-01-20 15:53:34.406848,0 days 00:03:04.148831,32,0.999,0.5852605606852431,COMPLETE
3,3,8.9487552,2024-01-20 15:53:34.406848,2024-01-20 15:56:20.512577,0 days 00:02:46.105729,64,0.999,0.0004223768600463279,COMPLETE
4,4,9.0913234,2024-01-20 15:56:20.513577,2024-01-20 15:58:52.711466,0 days 00:02:32.197889,512,0.9,0.00030394828937174413,COMPLETE
5,5,9.4516685,2024-01-20 15:58:52.712467,2024-01-20 16:01:24.492039,0 days 00:02:31.779572,512,0.9,1.0769139958067281e-05,COMPLETE
6,6,8.8913609,2024-01-20 16:01:24.492039,2024-01-20 16:03:28.916968,0 days 00:02:04.424929,256,0.95,1.1874483299047074e-05,PRUNED
7,7,8.9971864,2024-01-20 16:03:28.917971,2024-01-20 16:07:07.496472,0 days 00:03:38.578501,16,0.99,0.013363992431194911,COMPLETE
8,8,8.884164799999999,2024-01-20 16:07:07.497475,2024-01-20 16:09:11.900316,0 days 00:02:04.402841,128,0.98,0.010108577612694849,PRUNED
9,9,8.876795999999999,2024-01-20 16:09:11.901316,2024-01-20 16:11:17.033276,0 days 00:02:05.131960,512,0.995,1.119418329089043e-05,PRUNED
10,10,8.8581221,2024-01-20 16:11:17.033276,2024-01-20 16:13:20.701790,0 days 00:02:03.668514,16,0.9999,0.002819417530693241,PRUNED
11,11,8.8490403,2024-01-20 16:13:20.702790,2024-01-20 16:15:25.851894,0 days 00:02:05.149104,512,0.9,0.0001744863525486231,PRUNED
12,12,10.6046346,2024-01-20 16:15:25.852894,2024-01-20 16:17:57.772136,0 days 00:02:31.919242,512,0.9,0.0006921041988875914,COMPLETE
13,13,8.929876799999999,2024-01-20 16:17:57.772136,2024-01-20 16:20:02.410904,0 days 00:02:04.638768,512,0.9,0.0018519890536357884,PRUNED
14,14,11.153188099999998,2024-01-20 16:20:02.411906,2024-01-20 16:22:43.433197,0 days 00:02:41.021291,128,0.9,0.07042008382015409,COMPLETE
15,15,11.2891557,2024-01-20 16:22:43.433197,2024-01-20 16:25:22.898202,0 days 00:02:39.465005,128,0.98,0.07033531235681735,COMPLETE
16,16,11.170416000000001,2024-01-20 16:25:22.899201,2024-01-20 16:28:02.517291,0 days 00:02:39.618090,128,0.98,0.08537738611358536,COMPLETE
17,17,8.8426231,2024-01-20 16:28:02.518294,2024-01-20 16:30:06.696906,0 days 00:02:04.178612,128,0.98,0.10589712251975612,PRUNED
18,18,8.910183800000002,2024-01-20 16:30:06.696906,2024-01-20 16:32:11.317348,0 days 00:02:04.620442,128,0.98,0.10029953096549475,PRUNED
19,19,8.8497967,2024-01-20 16:32:11.318351,2024-01-20 16:34:15.559627,0 days 00:02:04.241276,128,0.98,0.021615461453634667,PRUNED
20,20,10.1089566,2024-01-20 16:34:15.560627,2024-01-20 16:37:04.056235,0 days 00:02:48.495608,64,0.98,0.2438701693052979,COMPLETE
21,21,8.848142200000002,2024-01-20 16:37:04.057237,2024-01-20 16:39:08.345495,0 days 00:02:04.288258,128,0.95,0.052737865343648355,PRUNED
22,22,11.330581800000001,2024-01-20 16:39:08.345495,2024-01-20 16:41:46.559325,0 days 00:02:38.213830,128,0.995,0.043152149875147476,COMPLETE
23,23,11.3187071,2024-01-20 16:41:46.560323,2024-01-20 16:44:26.524556,0 days 00:02:39.964233,128,0.995,0.026820832593618442,COMPLETE
24,24,8.853166,2024-01-20 16:44:26.525560,2024-01-20 16:46:30.605199,0 days 00:02:04.079639,256,0.995,0.030133495647116267,PRUNED
25,25,8.8706258,2024-01-20 16:46:30.605199,2024-01-20 16:48:34.400347,0 days 00:02:03.795148,32,0.995,0.0072158062186513825,PRUNED
26,26,11.2349459,2024-01-20 16:48:34.400347,2024-01-20 16:53:22.298829,0 days 00:04:47.898482,8,0.995,0.2113841087185559,COMPLETE
27,27,9.5013037,2024-01-20 16:53:22.298829,2024-01-20 16:55:27.499686,0 days 00:02:05.200857,128,0.995,0.029105430501140065,PRUNED
28,28,9.0023437,2024-01-20 16:55:27.500685,2024-01-20 16:57:32.175931,0 days 00:02:04.675246,128,0.99,0.005674988291879102,PRUNED
29,29,9.021523400000001,2024-01-20 16:57:32.175931,2024-01-20 16:59:38.035036,0 days 00:02:05.859105,128,0.9999,0.2346716952254118,PRUNED
30,30,8.796325800000002,2024-01-20 16:59:38.036038,2024-01-20 17:01:42.317054,0 days 00:02:04.281016,128,0.995,0.0015079996940530545,PRUNED
31,31,8.9303077,2024-01-20 17:01:42.317054,2024-01-20 17:03:46.556622,0 days 00:02:04.239568,8,0.995,0.2082014003217291,PRUNED
32,32,8.8140988,2024-01-20 17:03:46.556622,2024-01-20 17:05:51.100626,0 days 00:02:04.544004,8,0.995,0.7600740710329648,PRUNED
33,33,8.843335600000001,2024-01-20 17:05:51.100626,2024-01-20 17:07:56.260266,0 days 00:02:05.159640,8,0.995,0.27571877372420023,PRUNED
34,34,9.2529614,2024-01-20 17:07:56.260266,2024-01-20 17:10:01.644275,0 days 00:02:05.384009,8,0.995,0.03383683525560831,PRUNED
35,35,8.8712547,2024-01-20 17:10:01.645277,2024-01-20 17:12:06.363131,0 days 00:02:04.717854,32,0.995,0.01658108062496453,PRUNED
36,36,8.8475988,2024-01-20 17:12:06.364132,2024-01-20 17:14:10.950317,0 days 00:02:04.586185,64,0.99,0.405157500383306,PRUNED
37,37,8.8520708,2024-01-20 17:14:10.951317,2024-01-20 17:16:15.375790,0 days 00:02:04.424473,8,0.999,0.14012834460294696,PRUNED
38,38,8.873205899999999,2024-01-20 17:16:15.376786,2024-01-20 17:18:20.036144,0 days 00:02:04.659358,256,0.95,0.04951625833739768,PRUNED
39,39,11.2914498,2024-01-20 17:18:20.037145,2024-01-20 17:21:59.306273,0 days 00:03:39.269128,16,0.999,0.8852384208618523,COMPLETE
40,40,11.315119800000002,2024-01-20 17:21:59.306273,2024-01-20 17:25:37.816117,0 days 00:03:38.509844,16,0.999,0.4897835761049081,COMPLETE
41,41,8.951067499999999,2024-01-20 17:25:37.817118,2024-01-20 17:27:41.813109,0 days 00:02:03.995991,16,0.999,0.9976937373759904,PRUNED
42,42,8.9356427,2024-01-20 17:27:41.813109,2024-01-20 17:29:47.401296,0 days 00:02:05.588187,16,0.999,0.5204957501590852,PRUNED
43,43,11.2635807,2024-01-20 17:29:47.402297,2024-01-20 17:33:27.382683,0 days 00:03:39.980386,16,0.999,0.576397983103196,COMPLETE
44,44,9.202913900000002,2024-01-20 17:33:27.383683,2024-01-20 17:35:31.619156,0 days 00:02:04.235473,16,0.999,0.45353449632475806,PRUNED
45,45,8.9110149,2024-01-20 17:35:31.620157,2024-01-20 17:37:35.653289,0 days 00:02:04.033132,16,0.999,0.004493999962036121,PRUNED
46,46,9.0138367,2024-01-20 17:37:35.654292,2024-01-20 17:39:39.578684,0 days 00:02:03.924392,16,0.9999,0.009732121872908601,PRUNED
47,47,8.8347062,2024-01-20 17:39:39.578684,2024-01-20 17:41:43.088901,0 days 00:02:03.510217,16,0.999,6.319781134646943e-05,PRUNED
48,48,9.010575300000001,2024-01-20 17:41:43.089901,2024-01-20 17:43:46.976377,0 days 00:02:03.886476,128,0.999,0.14404119986825503,PRUNED
49,49,8.912146500000002,2024-01-20 17:43:46.977376,2024-01-20 17:45:50.667076,0 days 00:02:03.689700,32,0.98,0.3477332606360826,PRUNED
50,50,11.3145453,2024-01-20 17:45:50.668077,2024-01-20 17:48:37.263922,0 days 00:02:46.595845,64,0.95,0.048935702063788555,COMPLETE
51,51,8.9041396,2024-01-20 17:48:37.263922,2024-01-20 17:50:40.900243,0 days 00:02:03.636321,64,0.95,0.05658536874886378,PRUNED
52,52,8.8260201,2024-01-20 17:50:40.901246,2024-01-20 17:52:45.218283,0 days 00:02:04.317037,64,0.95,0.016774361422252124,PRUNED
53,53,11.2660882,2024-01-20 17:52:45.219285,2024-01-20 17:55:31.966102,0 days 00:02:46.746817,64,0.95,0.12400545493999404,COMPLETE
54,54,8.8708009,2024-01-20 17:55:31.967101,2024-01-20 17:57:35.634561,0 days 00:02:03.667460,128,0.99,0.03954115437182464,PRUNED
55,55,8.8782298,2024-01-20 17:57:35.635562,2024-01-20 17:59:39.474943,0 days 00:02:03.839381,256,0.98,0.07373984196982716,PRUNED
56,56,12.1355327,2024-01-20 17:59:39.474943,2024-01-20 18:02:26.703508,0 days 00:02:47.228565,64,0.95,0.8365816943488342,COMPLETE
57,57,9.2873886,2024-01-20 18:02:26.704508,2024-01-20 18:04:30.470143,0 days 00:02:03.765635,64,0.95,0.9326251014616254,PRUNED
58,58,8.8077216,2024-01-20 18:04:30.471144,2024-01-20 18:06:34.252630,0 days 00:02:03.781486,64,0.9999,0.1581040960124021,PRUNED
59,59,8.849805100000001,2024-01-20 18:06:34.252630,2024-01-20 18:08:38.251107,0 days 00:02:03.998477,64,0.95,0.6637726790978626,PRUNED
60,60,11.0011218,2024-01-20 18:08:38.252107,2024-01-20 18:10:42.519076,0 days 00:02:04.266969,512,0.95,0.00241489040478435,PRUNED
61,61,9.8655551,2024-01-20 18:10:42.520077,2024-01-20 18:12:46.400556,0 days 00:02:03.880479,128,0.9,0.34204285026683134,PRUNED
62,62,8.795430499999998,2024-01-20 18:12:46.401556,2024-01-20 18:14:50.447680,0 days 00:02:04.046124,128,0.95,0.023002710387449204,PRUNED
63,63,8.9028738,2024-01-20 18:14:50.448682,2024-01-20 18:16:54.254208,0 days 00:02:03.805526,16,0.98,0.09044718143676332,PRUNED
64,64,11.213429399999999,2024-01-20 18:16:54.255210,2024-01-20 18:19:41.039963,0 days 00:02:46.784753,64,0.999,0.013611529284410784,COMPLETE
65,65,11.1752725,2024-01-20 18:19:41.040962,2024-01-20 18:21:45.132906,0 days 00:02:04.091944,128,0.995,0.6665442767151867,PRUNED
66,66,8.9201218,2024-01-20 18:21:45.132906,2024-01-20 18:23:48.947545,0 days 00:02:03.814639,128,0.95,0.009222004823977368,PRUNED
67,67,8.892333699999998,2024-01-20 18:23:48.948545,2024-01-20 18:25:52.593360,0 days 00:02:03.644815,16,0.98,0.18102394949453487,PRUNED
68,68,8.4503452,2024-01-20 18:25:52.594362,2024-01-20 18:27:56.513890,0 days 00:02:03.919528,64,0.995,0.29084268990322526,PRUNED
69,69,9.3634,2024-01-20 18:27:56.513890,2024-01-20 18:30:00.911150,0 days 00:02:04.397260,512,0.9,0.0007814266908330927,PRUNED
70,70,13.2022727,2024-01-20 18:30:00.912151,2024-01-20 18:33:04.384956,0 days 00:03:03.472805,32,0.999,0.04423498164038785,COMPLETE
71,71,8.8680533,2024-01-20 18:33:04.385955,2024-01-20 18:35:07.985907,0 days 00:02:03.599952,32,0.999,0.047717000339365934,PRUNED
72,72,11.193805799999998,2024-01-20 18:35:07.985907,2024-01-20 18:37:12.186018,0 days 00:02:04.200111,32,0.999,0.024911975037237268,PRUNED
73,73,8.8276873,2024-01-20 18:37:12.187020,2024-01-20 18:39:16.023556,0 days 00:02:03.836536,32,0.999,0.068239334964591,PRUNED
74,74,8.9115438,2024-01-20 18:39:16.023556,2024-01-20 18:41:19.701404,0 days 00:02:03.677848,32,0.999,0.039210055227043586,PRUNED
75,75,10.440786300000001,2024-01-20 18:41:19.701404,2024-01-20 18:43:23.663391,0 days 00:02:03.961987,128,0.99,0.02074390759131109,PRUNED
76,76,9.539426000000002,2024-01-20 18:43:23.663391,2024-01-20 18:45:27.504133,0 days 00:02:03.840742,256,0.995,0.1077527089667627,PRUNED
77,77,8.3293756,2024-01-20 18:45:27.505137,2024-01-20 18:47:30.961239,0 days 00:02:03.456102,16,0.999,0.4152039796946741,PRUNED
78,78,8.8962344,2024-01-20 18:47:30.962238,2024-01-20 18:49:34.736191,0 days 00:02:03.773953,128,0.9999,0.7624823954198603,PRUNED
79,79,8.7967109,2024-01-20 18:49:34.737192,2024-01-20 18:51:38.595814,0 days 00:02:03.858622,64,0.995,0.21724669553261294,PRUNED
80,80,8.821681700000001,2024-01-20 18:51:38.596816,2024-01-20 18:53:42.661205,0 days 00:02:04.064389,16,0.98,0.06086143213225234,PRUNED
81,81,8.8522018,2024-01-20 18:53:42.662204,2024-01-20 18:55:46.178890,0 days 00:02:03.516686,64,0.95,0.12734541041367664,PRUNED
82,82,8.7076081,2024-01-20 18:55:46.179890,2024-01-20 18:57:50.001587,0 days 00:02:03.821697,64,0.95,0.10331937387765647,PRUNED
83,83,8.938367600000001,2024-01-20 18:57:50.001587,2024-01-20 18:59:53.850624,0 days 00:02:03.849037,64,0.95,0.03255401275953205,PRUNED
84,84,8.8237376,2024-01-20 18:59:53.851626,2024-01-20 19:01:57.788660,0 days 00:02:03.937034,64,0.95,0.49990829716524726,PRUNED
85,85,8.9578788,2024-01-20 19:01:57.789662,2024-01-20 19:04:01.719323,0 days 00:02:03.929661,128,0.95,0.08178252660442803,PRUNED
86,86,8.8367858,2024-01-20 19:04:01.720323,2024-01-20 19:06:05.689120,0 days 00:02:03.968797,32,0.999,0.04261460513885431,PRUNED
87,87,8.813819200000001,2024-01-20 19:06:05.689120,2024-01-20 19:08:09.929139,0 days 00:02:04.240019,64,0.995,0.9591003355570746,PRUNED
