   ,number ,value                 ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_clip_range ,params_ent_coef        ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_max_grad_norm ,params_n_epochs ,params_n_steps ,params_net_arch ,params_vf_coef        ,state
74 ,    74 ,-3.7792218000000006   ,2024-01-27 06:11:34.145050 ,2024-01-27 06:16:18.323736 ,0 days 00:04:44.178686 ,relu                 ,               16 ,              0.4 ,6.224244284596861e-08  ,             1.0  ,      0.95   ,0.00899788670535951    ,                 0.8 ,             20 ,           512 ,tiny            ,0.8957943188149362    ,PRUNED
75 ,    75 ,-1.3806348999999998   ,2024-01-27 06:16:18.324735 ,2024-01-27 06:19:38.836144 ,0 days 00:03:20.511409 ,relu                 ,              512 ,              0.1 ,6.539087854705547e-05  ,             0.92 ,      0.999  ,0.0007067957179999515  ,                 0.9 ,             20 ,            64 ,small           ,0.7335614113766314    ,PRUNED
76 ,    76 ,-0.31872749999999983  ,2024-01-27 06:19:38.837143 ,2024-01-27 06:22:29.674473 ,0 days 00:02:50.837330 ,relu                 ,              256 ,              0.3 ,1.991806325125119e-08  ,             0.9  ,      0.98   ,0.016884527834975155   ,                 0.5 ,             10 ,           256 ,tiny            ,0.7717752967722615    ,PRUNED
77 ,    77 ,-19.656694000000005   ,2024-01-27 06:22:29.675471 ,2024-01-27 06:26:22.293487 ,0 days 00:03:52.618016 ,relu                 ,               32 ,              0.4 ,0.0004877159125324877  ,             0.95 ,      0.95   ,0.003371890910342641   ,                 0.7 ,             20 ,          1024 ,medium          ,0.9197675359117051    ,PRUNED
78 ,    78 ,0.23253639999999987   ,2024-01-27 06:26:22.294488 ,2024-01-27 06:29:43.479012 ,0 days 00:03:21.184524 ,relu                 ,              512 ,              0.4 ,0.010436286238845236   ,             1.0  ,      0.995  ,0.0011535033445964698  ,                 2.0 ,             10 ,            32 ,small           ,0.5722723859556585    ,PRUNED
79 ,    79 ,-16.925033899999995   ,2024-01-27 06:29:43.480013 ,2024-01-27 06:32:31.645266 ,0 days 00:02:48.165253 ,tanh                 ,               64 ,              0.3 ,2.7637418590562934e-08 ,             0.98 ,      0.99   ,0.02481330232671785    ,                 0.3 ,              1 ,            64 ,tiny            ,0.6687432396486199    ,PRUNED
80 ,    80 ,-0.20147640000000022  ,2024-01-27 06:32:31.646266 ,2024-01-27 06:35:48.669847 ,0 days 00:03:17.023581 ,relu                 ,              128 ,              0.1 ,2.2716074775246266e-07 ,             0.99 ,      0.9999 ,0.012483285037596064   ,                 0.5 ,             20 ,            64 ,tiny            ,0.9727469102898191    ,PRUNED
81 ,    81 ,-4.0029969            ,2024-01-27 06:35:48.670848 ,2024-01-27 06:39:41.892523 ,0 days 00:03:53.221675 ,relu                 ,               32 ,              0.3 ,4.7262890870349106e-08 ,             1.0  ,      0.95   ,0.002093767897628845   ,                 0.7 ,             20 ,            32 ,small           ,0.9401505376030844    ,PRUNED
82 ,    82 ,4.2550875             ,2024-01-27 06:39:41.893524 ,2024-01-27 06:47:05.462355 ,0 days 00:07:23.568831 ,relu                 ,               32 ,              0.3 ,1.4103668541991708e-07 ,             1.0  ,      0.95   ,0.004609329225924146   ,                 0.7 ,             20 ,            32 ,small           ,0.9977937076601027    ,COMPLETE
83 ,    83 ,1.7072276             ,2024-01-27 06:47:05.463358 ,2024-01-27 06:50:59.226893 ,0 days 00:03:53.763535 ,relu                 ,               32 ,              0.3 ,9.137444754959276e-08  ,             1.0  ,      0.95   ,0.006088669491050334   ,                 0.7 ,             20 ,            32 ,small           ,0.8874300408971583    ,PRUNED
84 ,    84 ,-1.9303863999999997   ,2024-01-27 06:50:59.227894 ,2024-01-27 06:54:52.770826 ,0 days 00:03:53.542932 ,relu                 ,               32 ,              0.3 ,3.2658788112942796e-07 ,             1.0  ,      0.95   ,0.00445374994603118    ,                 0.9 ,             20 ,            32 ,small           ,0.9968943131101027    ,PRUNED
85 ,    85 ,1.084609              ,2024-01-27 06:54:52.771825 ,2024-01-27 06:57:48.104843 ,0 days 00:02:55.333018 ,relu                 ,              512 ,              0.2 ,1.0255667714154093e-06 ,             1.0  ,      0.9    ,0.0028036399710948063  ,                 0.7 ,             10 ,           128 ,small           ,0.8520816653994608    ,PRUNED
86 ,    86 ,2.4655285000000005    ,2024-01-27 06:57:48.105846 ,2024-01-27 07:05:07.651442 ,0 days 00:07:19.545596 ,relu                 ,                8 ,              0.4 ,1.3434887849826683e-07 ,             0.9  ,      0.95   ,0.001518411365184679   ,                 0.6 ,              5 ,           512 ,small           ,0.7072621922820159    ,COMPLETE
87 ,    87 ,-6.276748399999999    ,2024-01-27 07:05:07.652443 ,2024-01-27 07:08:54.086828 ,0 days 00:03:46.434385 ,relu                 ,                8 ,              0.4 ,1.8183129701481882e-07 ,             0.9  ,      0.98   ,0.00046438327266703735 ,                 0.6 ,              5 ,           512 ,tiny            ,0.6460703110266028    ,PRUNED
88 ,    88 ,-19.656694000000005   ,2024-01-27 07:08:54.087830 ,2024-01-27 07:12:42.831468 ,0 days 00:03:48.743638 ,relu                 ,                8 ,              0.4 ,1.0827747630644474e-07 ,             0.9  ,      0.95   ,0.22744662553716727    ,                 0.6 ,              5 ,           512 ,small           ,0.7030586706128359    ,PRUNED
89 ,    89 ,-0.06736450000000005  ,2024-01-27 07:12:42.832467 ,2024-01-27 07:16:28.965412 ,0 days 00:03:46.132945 ,relu                 ,                8 ,              0.4 ,3.9833043630579614e-07 ,             0.9  ,      0.95   ,0.0013859725959616024  ,                 0.6 ,              5 ,           512 ,tiny            ,0.5364794465025718    ,PRUNED
90 ,    90 ,-4.5608727            ,2024-01-27 07:16:28.966412 ,2024-01-27 07:20:24.761482 ,0 days 00:03:55.795070 ,relu                 ,                8 ,              0.4 ,4.583407122096934e-06  ,             0.9  ,      0.99   ,0.00026713698928036787 ,                 0.5 ,              5 ,            64 ,medium          ,0.6269584620942       ,PRUNED
91 ,    91 ,-1.0658463999999999   ,2024-01-27 07:20:24.762483 ,2024-01-27 07:23:20.260200 ,0 days 00:02:55.497717 ,relu                 ,              256 ,              0.3 ,1.2574406891328756e-08 ,             0.8  ,      0.95   ,0.009523172258470984   ,                 0.9 ,             20 ,           512 ,small           ,0.8219097283664207    ,PRUNED
92 ,    92 ,-2.3838210000000006   ,2024-01-27 07:23:20.261200 ,2024-01-27 07:26:23.181961 ,0 days 00:03:02.920761 ,relu                 ,               32 ,              0.4 ,2.4479492713444785e-08 ,             1.0  ,      0.95   ,0.0017593934710540783  ,                 0.6 ,              5 ,          2048 ,small           ,0.31187162546390684   ,PRUNED
93 ,    93 ,0.22087459999999998   ,2024-01-27 07:26:23.182963 ,2024-01-27 07:29:44.445355 ,0 days 00:03:21.262392 ,relu                 ,              512 ,              0.3 ,7.100487071229739e-08  ,             0.98 ,      0.95   ,0.0026600431747201047  ,                 5.0 ,             10 ,            32 ,small           ,0.7609735554155854    ,PRUNED
94 ,    94 ,0.2252283000000001    ,2024-01-27 07:29:44.446357 ,2024-01-27 07:33:04.060999 ,0 days 00:03:19.614642 ,relu                 ,              256 ,              0.4 ,1.4994134358714127e-08 ,             0.92 ,      0.95   ,0.005421035824161385   ,                 0.7 ,             20 ,            64 ,small           ,0.9706030401737049    ,PRUNED
95 ,    95 ,-16.9272659           ,2024-01-27 07:33:04.061999 ,2024-01-27 07:38:01.318077 ,0 days 00:04:57.256078 ,relu                 ,              512 ,              0.3 ,1.4702055742453184e-07 ,             1.0  ,      0.995  ,0.8493053284521861     ,                 0.8 ,             20 ,            16 ,small           ,0.7843622752784372    ,PRUNED
96 ,    96 ,-6.2337022            ,2024-01-27 07:38:01.318077 ,2024-01-27 07:43:00.467300 ,0 days 00:04:59.149223 ,relu                 ,               16 ,              0.4 ,4.2544174395070106e-08 ,             0.9  ,      0.95   ,0.0038740633284321552  ,                 0.5 ,             10 ,             8 ,small           ,0.7389080227255022    ,PRUNED
97 ,    97 ,3.3150158             ,2024-01-27 07:43:00.468301 ,2024-01-27 07:50:10.031665 ,0 days 00:07:09.563364 ,tanh                 ,               32 ,              0.1 ,2.623134948154699e-08  ,             0.95 ,      0.999  ,0.00783729185122962    ,                 0.9 ,             20 ,           256 ,tiny            ,0.9477483302260257    ,COMPLETE
98 ,    98 ,-4.4466380999999995   ,2024-01-27 07:50:10.032664 ,2024-01-27 07:53:26.402791 ,0 days 00:03:16.370127 ,tanh                 ,               32 ,              0.1 ,8.051057215073317e-08  ,             0.95 ,      0.999  ,0.0007436520715283937  ,                 0.9 ,             10 ,           256 ,tiny            ,0.6690808853033284    ,PRUNED
99 ,    99 ,-2.1053583            ,2024-01-27 07:53:26.403790 ,2024-01-27 07:56:16.622899 ,0 days 00:02:50.219109 ,tanh                 ,               32 ,              0.1 ,0.0032499305643477368  ,             0.95 ,      0.999  ,0.007456922131615195   ,                 0.9 ,              1 ,           256 ,tiny            ,0.9492460252443893    ,PRUNED
