,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-11.841617699999999,2024-01-24 10:32:17.482715,2024-01-24 10:39:32.927663,0 days 00:07:15.444948,512,0.9,1.275647641926594e-05,COMPLETE
1,1,0.5556712,2024-01-24 10:39:32.939045,2024-01-24 10:46:46.305031,0 days 00:07:13.365986,512,0.99,0.00041866159957763523,COMPLETE
2,2,-1.4718531000000001,2024-01-24 10:46:46.308038,2024-01-24 10:54:12.806841,0 days 00:07:26.498803,128,0.9999,1.9128656546154178e-05,COMPLETE
3,3,-3.4946681000000006,2024-01-24 10:54:12.807842,2024-01-24 11:01:29.854089,0 days 00:07:17.046247,256,0.9999,0.00014252839183446838,COMPLETE
4,4,0.7773344,2024-01-24 11:01:29.855091,2024-01-24 11:08:58.657743,0 days 00:07:28.802652,64,0.9,0.0006748937928957714,COMPLETE
5,5,-9.4803933,2024-01-24 11:08:58.658744,2024-01-24 11:12:26.235440,0 days 00:03:27.576696,64,0.9,0.008977539335039914,PRUNED
6,6,-1.5350007999999993,2024-01-24 11:12:26.236858,2024-01-24 11:15:55.224334,0 days 00:03:28.987476,64,0.95,0.0019401644868175302,PRUNED
7,7,-7.3493110999999995,2024-01-24 11:15:55.224334,2024-01-24 18:26:53.461211,0 days 07:10:58.236877,8,0.999,0.0002636816934297072,PRUNED
8,8,0.5561756000000001,2024-01-24 18:26:53.462271,2024-01-24 18:34:18.424695,0 days 00:07:24.962424,32,0.995,0.0014613542713089582,COMPLETE
9,9,0.5565138000000001,2024-01-24 18:34:18.425698,2024-01-24 18:43:01.482201,0 days 00:08:43.056503,16,0.98,5.35054172940916e-05,COMPLETE
10,10,0.5752854999999999,2024-01-24 18:43:01.482201,2024-01-24 18:49:36.855248,0 days 00:06:35.373047,64,0.9,0.0012297160235803834,COMPLETE
11,11,-3.5321498,2024-01-24 18:49:36.856251,2024-01-24 18:53:06.615768,0 days 00:03:29.759517,64,0.9,0.001216149407223716,PRUNED
12,12,-19.691477999999996,2024-01-24 18:53:06.616771,2024-01-24 18:56:36.465967,0 days 00:03:29.849196,64,0.9,0.005261002352735255,PRUNED
13,13,0.5549927,2024-01-24 18:56:36.465967,2024-01-24 19:00:06.683750,0 days 00:03:30.217783,64,0.9,0.0006092835949228673,PRUNED
14,14,-0.014036699999999902,2024-01-24 19:00:06.684753,2024-01-24 19:04:32.360581,0 days 00:04:25.675828,16,0.98,0.003357425370517731,PRUNED
15,15,-19.691477999999996,2024-01-24 19:04:32.361584,2024-01-24 19:07:48.338024,0 days 00:03:15.976440,256,0.995,0.00011348261276276445,PRUNED
16,16,-1.419845,2024-01-24 19:07:48.339025,2024-01-24 19:13:31.170903,0 days 00:05:42.831878,8,0.999,0.0007537886435066776,PRUNED
17,17,0.5809964,2024-01-24 19:13:31.170903,2024-01-24 19:19:50.739755,0 days 00:06:19.568852,128,0.99,0.0026935190790508723,COMPLETE
18,18,-1.4693276,2024-01-24 19:19:50.740757,2024-01-24 19:23:13.719159,0 days 00:03:22.978402,128,0.99,0.003494962552474487,PRUNED
19,19,0.5560096000000001,2024-01-24 19:23:13.719159,2024-01-24 19:26:35.787445,0 days 00:03:22.068286,128,0.99,0.00024040458300076032,PRUNED
20,20,-18.0158451,2024-01-24 19:26:35.787445,2024-01-24 19:30:30.627954,0 days 00:03:54.840509,32,0.95,0.009811459425019353,PRUNED
21,21,-5.2883346,2024-01-24 19:30:30.627954,2024-01-24 19:33:53.360989,0 days 00:03:22.733035,128,0.99,0.0008465783679774904,PRUNED
22,22,-1.4836344000000004,2024-01-24 19:33:53.362006,2024-01-24 19:37:24.732710,0 days 00:03:31.370704,64,0.9,0.002163795391124809,PRUNED
23,23,0.6838681000000001,2024-01-24 19:37:24.732710,2024-01-24 19:44:06.383979,0 days 00:06:41.651269,64,0.9,0.0004128773534119685,COMPLETE
24,24,-13.616982199999999,2024-01-24 19:44:06.384979,2024-01-24 19:47:29.049077,0 days 00:03:22.664098,128,0.99,0.00041638048393051957,PRUNED
25,25,0.5556737,2024-01-24 19:47:29.049077,2024-01-24 19:51:01.788011,0 days 00:03:32.738934,64,0.9,0.00013610200622240205,PRUNED
26,26,0.556852,2024-01-24 19:51:01.789013,2024-01-24 20:02:01.966343,0 days 00:11:00.177330,8,0.995,0.0005964992799044583,COMPLETE
27,27,0.1739870000000002,2024-01-24 20:02:01.967343,2024-01-24 20:05:17.683171,0 days 00:03:15.715828,256,0.95,7.405409653635011e-05,PRUNED
28,28,-3.5124688000000006,2024-01-24 20:05:17.684173,2024-01-24 20:09:08.036972,0 days 00:03:50.352799,32,0.98,0.0031729526713170837,PRUNED
29,29,-11.9364395,2024-01-24 20:09:08.036972,2024-01-24 20:12:23.808196,0 days 00:03:15.771224,512,0.9,3.341068115130898e-05,PRUNED
30,30,-19.691477999999996,2024-01-24 20:12:23.808196,2024-01-24 20:16:51.737339,0 days 00:04:27.929143,16,0.999,0.0002249324373025861,PRUNED
31,31,-1.4208092999999995,2024-01-24 20:16:51.738341,2024-01-24 20:20:22.127475,0 days 00:03:30.389134,64,0.9,0.0011463238268615257,PRUNED
32,32,-1.4524957000000003,2024-01-24 20:20:22.128476,2024-01-24 20:23:53.704591,0 days 00:03:31.576115,64,0.9,0.0003971944014824175,PRUNED
33,33,-3.2548171999999993,2024-01-24 20:23:53.704591,2024-01-24 20:27:10.313699,0 days 00:03:16.609108,512,0.9999,0.0020618854482755754,PRUNED
34,34,0.5561781000000001,2024-01-24 20:27:10.314701,2024-01-24 20:30:41.984124,0 days 00:03:31.669423,64,0.9,1.0557294112017387e-05,PRUNED
35,35,-1.3717494,2024-01-24 20:30:41.985125,2024-01-24 20:34:04.566864,0 days 00:03:22.581739,128,0.99,0.005720050113157321,PRUNED
36,36,0.5561762000000001,2024-01-24 20:34:04.567865,2024-01-24 20:37:37.391691,0 days 00:03:32.823826,64,0.9999,0.0008307816434886114,PRUNED
37,37,0.5553301,2024-01-24 20:37:37.392694,2024-01-24 20:41:09.783008,0 days 00:03:32.390314,64,0.9,0.001548536918231513,PRUNED
38,38,0.5791383000000001,2024-01-24 20:41:09.784010,2024-01-24 20:47:16.687000,0 days 00:06:06.902990,512,0.9,0.0003323698005175323,COMPLETE
39,39,0.5558398,2024-01-24 20:47:16.688192,2024-01-24 20:50:32.562003,0 days 00:03:15.873811,512,0.99,0.00018421890692548335,PRUNED
40,40,0.5972336,2024-01-24 20:50:32.562003,2024-01-24 20:56:42.068702,0 days 00:06:09.506699,512,0.9,0.0003996431114909003,COMPLETE
41,41,0.5563436,2024-01-24 20:56:42.070880,2024-01-24 20:59:59.756085,0 days 00:03:17.685205,512,0.9,0.0003531095013246551,PRUNED
42,42,0.5558374,2024-01-24 20:59:59.757097,2024-01-24 21:03:15.654970,0 days 00:03:15.897873,512,0.9,0.0003009723226794452,PRUNED
43,43,-11.592151099999999,2024-01-24 21:03:15.656030,2024-01-24 21:06:31.865496,0 days 00:03:16.209466,512,0.9,0.0005552095471669724,PRUNED
44,44,0.5563451,2024-01-24 21:06:31.865496,2024-01-24 21:09:48.556120,0 days 00:03:16.690624,512,0.9,0.000182575399682033,PRUNED
45,45,0.5556708,2024-01-24 21:09:48.557120,2024-01-24 21:13:04.863572,0 days 00:03:16.306452,512,0.95,0.00045144879786389135,PRUNED
46,46,0.5558386000000001,2024-01-24 21:13:04.863572,2024-01-24 21:16:22.133523,0 days 00:03:17.269951,256,0.9,8.309689799105027e-05,PRUNED
47,47,-3.2548167999999995,2024-01-24 21:16:22.134972,2024-01-24 21:19:39.046520,0 days 00:03:16.911548,128,0.999,0.00096632845249177,PRUNED
48,48,2.3730030999999996,2024-01-24 21:19:39.046520,2024-01-24 21:30:37.527909,0 days 00:10:58.481389,8,0.995,0.0005565336168379374,COMPLETE
49,49,-19.691477999999996,2024-01-24 21:30:37.528957,2024-01-24 21:36:19.122246,0 days 00:05:41.593289,8,0.995,0.0005628166790505425,PRUNED
50,50,-19.691477999999996,2024-01-24 21:36:19.123247,2024-01-24 21:42:00.678133,0 days 00:05:41.554886,8,0.995,0.006191772024915107,PRUNED
51,51,-19.483586600000002,2024-01-24 21:42:00.679133,2024-01-24 21:47:45.041332,0 days 00:05:44.362199,8,0.995,0.0002923137025207309,PRUNED
52,52,-13.1077251,2024-01-24 21:47:45.041332,2024-01-24 21:52:11.500000,0 days 00:04:26.458668,16,0.98,0.0006846115552004238,PRUNED
53,53,0.5636354000000001,2024-01-24 21:52:11.501002,2024-01-24 21:56:05.874196,0 days 00:03:54.373194,32,0.995,0.00020082751388442378,PRUNED
54,54,-3.5254720000000006,2024-01-24 21:56:05.875196,2024-01-24 22:01:51.991977,0 days 00:05:46.116781,8,0.9999,0.00048183597490737164,PRUNED
55,55,0.5920184999999999,2024-01-24 22:01:51.991977,2024-01-24 22:08:02.179227,0 days 00:06:10.187250,512,0.99,0.0015545701503743813,COMPLETE
56,56,0.5565163000000001,2024-01-24 22:08:02.180256,2024-01-24 22:11:26.029748,0 days 00:03:23.849492,128,0.99,0.0017611157337417344,PRUNED
57,57,-3.2298642,2024-01-24 22:11:26.029748,2024-01-24 22:14:59.294729,0 days 00:03:33.264981,64,0.99,0.001180415449375231,PRUNED
58,58,0.5561760000000001,2024-01-24 22:14:59.295730,2024-01-24 22:18:18.688797,0 days 00:03:19.393067,256,0.99,0.0025933618607157376,PRUNED
59,59,-1.468486,2024-01-24 22:18:18.688797,2024-01-24 22:24:01.547955,0 days 00:05:42.859158,8,0.99,0.0010122831469673015,PRUNED
60,60,0.5566833,2024-01-24 22:24:01.548956,2024-01-24 22:27:23.566124,0 days 00:03:22.017168,128,0.995,0.004100001593496708,PRUNED
61,61,0.5553329,2024-01-24 22:27:23.567125,2024-01-24 22:30:40.136366,0 days 00:03:16.569241,512,0.9,0.000356577637194815,PRUNED
62,62,1.0972706,2024-01-24 22:30:40.136366,2024-01-24 22:36:51.980982,0 days 00:06:11.844616,512,0.9,0.0013914489511673786,COMPLETE
63,63,0.5560065,2024-01-24 22:36:51.981983,2024-01-24 22:40:08.928052,0 days 00:03:16.946069,512,0.99,0.0025129540576297005,PRUNED
64,64,-1.452035,2024-01-24 22:40:08.928052,2024-01-24 22:43:24.237402,0 days 00:03:15.309350,512,0.98,0.0013479281223293842,PRUNED
65,65,0.5987094,2024-01-24 22:43:24.237402,2024-01-24 22:50:38.068362,0 days 00:07:13.830960,32,0.95,0.0007677138502250883,COMPLETE
66,66,0.5544864,2024-01-24 22:50:38.069374,2024-01-24 22:54:29.563932,0 days 00:03:51.494558,32,0.95,0.0006867610929878066,PRUNED
67,67,-1.4333688,2024-01-24 22:54:29.563932,2024-01-24 22:58:20.795550,0 days 00:03:51.231618,32,0.95,0.000799494582976005,PRUNED
68,68,-1.2362293,2024-01-24 22:58:20.796693,2024-01-24 23:02:11.759971,0 days 00:03:50.963278,32,0.95,0.00048204260077983383,PRUNED
69,69,0.5556135999999999,2024-01-24 23:02:11.760972,2024-01-24 23:06:40.100439,0 days 00:04:28.339467,16,0.999,0.0009198036533225401,PRUNED
