,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
39,39,-5.571774,2024-01-25 05:32:36.544364,2024-01-25 05:47:36.730915,0 days 00:15:00.186551,256,0.999,0.0009288639579785001,COMPLETE
40,40,-18.010713,2024-01-25 05:47:36.731921,2024-01-25 05:55:35.854044,0 days 00:07:59.122123,256,0.999,0.000735354009600691,PRUNED
41,41,-19.691477999999996,2024-01-25 05:55:35.855044,2024-01-25 06:03:30.021210,0 days 00:07:54.166166,256,0.999,0.0029202014774318955,PRUNED
42,42,-19.691477999999996,2024-01-25 06:03:30.022210,2024-01-25 06:11:25.234085,0 days 00:07:55.211875,256,0.995,0.001254841972463583,PRUNED
43,43,-18.0177345,2024-01-25 06:11:25.235085,2024-01-25 06:19:17.219719,0 days 00:07:51.984634,32,0.9,0.002025275594475431,PRUNED
44,44,-19.691477999999996,2024-01-25 06:19:17.220674,2024-01-25 06:27:10.745572,0 days 00:07:53.524898,16,0.999,1.1115086515913794e-05,PRUNED
45,45,-18.0184425,2024-01-25 06:27:10.746575,2024-01-25 06:35:05.585773,0 days 00:07:54.839198,16,0.999,0.004603678110619656,PRUNED
46,46,-18.0173137,2024-01-25 06:35:05.586775,2024-01-25 06:43:02.106418,0 days 00:07:56.519643,256,0.9999,0.0074541411468341725,PRUNED
47,47,-19.691477999999996,2024-01-25 06:43:02.107418,2024-01-25 06:51:01.102879,0 days 00:07:58.995461,64,0.95,0.004283558862729917,PRUNED
48,48,-18.014243999999998,2024-01-25 06:51:01.103881,2024-01-25 06:58:56.290263,0 days 00:07:55.186382,128,0.98,0.0026111217741721887,PRUNED
49,49,-18.018294700000002,2024-01-25 06:58:56.291263,2024-01-25 07:06:50.232732,0 days 00:07:53.941469,512,0.999,0.005046410602857603,PRUNED
50,50,-18.0209881,2024-01-25 07:06:50.233735,2024-01-25 07:14:43.630430,0 days 00:07:53.396695,32,0.995,0.001297707036022946,PRUNED
51,51,-18.0196826,2024-01-25 07:14:43.631432,2024-01-25 07:22:37.004786,0 days 00:07:53.373354,256,0.999,0.0009567408040839336,PRUNED
52,52,-19.691477999999996,2024-01-25 07:22:37.005788,2024-01-25 07:30:31.871197,0 days 00:07:54.865409,256,0.999,0.00048524648999243974,PRUNED
53,53,-18.021240799999998,2024-01-25 07:30:31.873197,2024-01-25 07:38:26.989136,0 days 00:07:55.115939,256,0.999,0.00015576443102988403,PRUNED
54,54,-18.020011399999998,2024-01-25 07:38:26.991136,2024-01-25 07:46:21.564608,0 days 00:07:54.573472,64,0.999,0.0002999771003030738,PRUNED
55,55,-7.681641999999999,2024-01-25 07:46:21.565608,2024-01-25 08:01:24.063703,0 days 00:15:02.498095,256,0.99,0.0021936538616900807,COMPLETE
56,56,-18.0181302,2024-01-25 08:01:24.064703,2024-01-25 08:09:16.326129,0 days 00:07:52.261426,16,0.999,0.0006210057176428114,PRUNED
57,57,-19.691477999999996,2024-01-25 08:09:16.327130,2024-01-25 08:17:09.878813,0 days 00:07:53.551683,64,0.995,0.003265493367656635,PRUNED
58,58,-18.017132800000002,2024-01-25 08:17:09.879813,2024-01-25 08:25:03.574612,0 days 00:07:53.694799,16,0.999,0.0016483411698651723,PRUNED
59,59,-19.691477999999996,2024-01-25 08:25:03.575612,2024-01-25 08:32:57.607548,0 days 00:07:54.031936,64,0.9,0.007564340223115552,PRUNED
60,60,-18.0172919,2024-01-25 08:32:57.608548,2024-01-25 08:40:52.004409,0 days 00:07:54.395861,256,0.98,0.005045535178366896,PRUNED
61,61,-18.0114175,2024-01-25 08:40:52.005410,2024-01-25 08:48:47.588729,0 days 00:07:55.583319,100,0.995,0.009399118251285627,PRUNED
62,62,-18.014980599999998,2024-01-25 08:48:47.589730,2024-01-25 08:56:45.313642,0 days 00:07:57.723912,100,0.995,0.009880849341332296,PRUNED
63,63,-18.0175489,2024-01-25 08:56:45.314593,2024-01-25 09:04:37.129457,0 days 00:07:51.814864,100,0.995,0.0069153942797822885,PRUNED
64,64,-18.0120428,2024-01-25 09:04:37.131457,2024-01-25 09:12:29.468676,0 days 00:07:52.337219,512,0.995,0.001056807945847277,PRUNED
65,65,-9.790916499999998,2024-01-25 09:12:29.469650,2024-01-25 09:27:25.756616,0 days 00:14:56.286966,128,0.999,0.007590256493109953,COMPLETE
66,66,-13.926943900000001,2024-01-25 09:27:25.757615,2024-01-25 09:35:21.255378,0 days 00:07:55.497763,64,0.995,0.005524402178686371,PRUNED
67,67,-7.6512835,2024-01-25 09:35:21.256380,2024-01-25 09:50:21.457009,0 days 00:15:00.200629,100,0.999,0.0034104012981111655,COMPLETE
68,68,-11.8437562,2024-01-25 09:50:21.458009,2024-01-25 09:58:19.702197,0 days 00:07:58.244188,32,0.95,0.006084130674833248,PRUNED
69,69,-7.7111440999999985,2024-01-25 09:58:19.704198,2024-01-25 10:13:21.956514,0 days 00:15:02.252316,16,0.9999,0.002337890779403597,COMPLETE
70,70,-7.6532388,2024-01-25 10:13:21.958514,2024-01-25 10:28:18.374060,0 days 00:14:56.415546,64,0.995,0.00040099696060108645,COMPLETE
71,71,-18.0121096,2024-01-25 10:28:18.376062,2024-01-25 10:36:12.841792,0 days 00:07:54.465730,100,0.999,0.0036125015509892986,PRUNED
