,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
39,39,-7.673360299999999,2024-01-24 01:41:47.128539,2024-01-24 01:45:36.896346,0 days 00:03:49.767807,256,0.995,0.0012321205799526694,PRUNED
40,40,-5.747592099999999,2024-01-24 01:45:36.896346,2024-01-24 01:49:41.379399,0 days 00:04:04.483053,16,0.95,0.00016321900177169527,PRUNED
41,41,-7.868090700000001,2024-01-24 01:49:41.379399,2024-01-24 01:53:39.910543,0 days 00:03:58.531144,256,0.95,0.00028225290728052673,PRUNED
42,42,-1.3816910999999994,2024-01-24 01:53:39.911526,2024-01-24 02:00:50.078844,0 days 00:07:10.167318,256,0.95,0.00037425571991739397,COMPLETE
43,43,-3.746361399999999,2024-01-24 02:00:50.079821,2024-01-24 02:04:36.518862,0 days 00:03:46.439041,256,0.95,0.0004852713585531668,PRUNED
44,44,-5.803725200000001,2024-01-24 02:04:36.519852,2024-01-24 02:08:27.193719,0 days 00:03:50.673867,256,0.95,8.747265871140438e-05,PRUNED
45,45,-1.7620359,2024-01-24 02:08:27.193719,2024-01-24 02:15:53.310564,0 days 00:07:26.116845,32,0.999,0.0008803412482950607,COMPLETE
46,46,-1.6889916999999994,2024-01-24 02:15:53.310564,2024-01-24 02:22:56.712259,0 days 00:07:03.401695,512,0.9999,0.00024726548978897716,COMPLETE
47,47,-9.936710600000001,2024-01-24 02:22:56.713258,2024-01-24 02:26:39.317297,0 days 00:03:42.604039,512,0.9999,0.00026650432329194533,PRUNED
48,48,-7.9091716000000005,2024-01-24 02:26:39.317297,2024-01-24 02:30:26.383431,0 days 00:03:47.066134,512,0.9999,0.00048016924049044057,PRUNED
49,49,-7.799262399999999,2024-01-24 02:30:26.384436,2024-01-24 02:34:12.065085,0 days 00:03:45.680649,512,0.9999,0.0009386570206788941,PRUNED
50,50,-3.6594303999999993,2024-01-24 02:34:12.066094,2024-01-24 02:37:57.475210,0 days 00:03:45.409116,512,0.99,0.0017223881112571598,PRUNED
51,51,-11.9626026,2024-01-24 02:37:57.476192,2024-01-24 02:42:00.473562,0 days 00:04:02.997370,16,0.995,0.0003964115374287725,PRUNED
52,52,-5.8907677,2024-01-24 02:42:00.474563,2024-01-24 02:45:52.285440,0 days 00:03:51.810877,64,0.9999,0.00011561352804357731,PRUNED
53,53,-7.650066399999998,2024-01-24 02:45:52.286459,2024-01-24 02:49:43.362440,0 days 00:03:51.075981,128,0.95,6.664621654332015e-05,PRUNED
54,54,-9.8492274,2024-01-24 02:49:43.363441,2024-01-24 02:54:11.235781,0 days 00:04:27.872340,8,0.98,0.0002327360333144965,PRUNED
55,55,-9.826672499999999,2024-01-24 02:54:11.236763,2024-01-24 02:57:57.517238,0 days 00:03:46.280475,256,0.995,0.00015181134296744482,PRUNED
56,56,-5.751910899999999,2024-01-24 02:57:57.518217,2024-01-24 03:02:05.983573,0 days 00:04:08.465356,16,0.95,4.006757929593919e-05,PRUNED
57,57,-9.6822966,2024-01-24 03:02:05.983573,2024-01-24 03:05:57.050841,0 days 00:03:51.067268,128,0.999,0.00019932390226163853,PRUNED
58,58,-7.759784999999999,2024-01-24 03:05:57.051822,2024-01-24 03:09:40.890331,0 days 00:03:43.838509,512,0.9999,0.0005956379903789778,PRUNED
59,59,-11.8433706,2024-01-24 03:09:40.890331,2024-01-24 03:13:36.036418,0 days 00:03:55.146087,32,0.95,2.404826622310793e-05,PRUNED
60,60,-11.844844799999997,2024-01-24 03:13:36.037466,2024-01-24 03:17:25.579115,0 days 00:03:49.541649,256,0.99,9.746076295377136e-05,PRUNED
