,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-18.0086809,2024-01-24 15:57:09.817990,2024-01-24 16:09:52.252162,0 days 00:12:42.434172,100,0.98,0.00029501736250556334,COMPLETE
1,1,-18.0187591,2024-01-24 16:09:52.254157,2024-01-24 16:21:27.670936,0 days 00:11:35.416779,256,0.98,0.0004433473579423045,COMPLETE
2,2,-18.0224285,2024-01-24 16:21:27.671934,2024-01-24 16:32:57.493077,0 days 00:11:29.821143,512,0.9999,9.986866512717121e-05,COMPLETE
3,3,-11.8266475,2024-01-24 16:32:57.494074,2024-01-24 16:44:22.845613,0 days 00:11:25.351539,100,0.995,0.00010584727781685977,COMPLETE
4,4,-18.0180987,2024-01-24 16:44:22.845613,2024-01-24 16:55:48.516988,0 days 00:11:25.671375,32,0.9999,0.003101714480596259,COMPLETE
5,5,-18.0218582,2024-01-24 16:55:48.517957,2024-01-24 17:01:51.879475,0 days 00:06:03.361518,100,0.995,1.1130307974539905e-05,PRUNED
6,6,-11.88251,2024-01-24 17:01:51.880473,2024-01-24 17:13:16.897872,0 days 00:11:25.017399,64,0.995,3.4294999757559746e-05,COMPLETE
7,7,-9.5678203,2024-01-24 17:13:16.897872,2024-01-24 17:24:44.482209,0 days 00:11:27.584337,128,0.999,0.008709840623037896,COMPLETE
8,8,-18.0235538,2024-01-24 17:24:44.483207,2024-01-24 17:30:47.576528,0 days 00:06:03.093321,128,0.999,0.009128021503024601,PRUNED
9,9,-18.0116923,2024-01-24 17:30:47.577525,2024-01-24 17:36:49.155506,0 days 00:06:01.577981,128,0.999,0.0016371960643032026,PRUNED
10,10,-18.007931499999998,2024-01-24 17:36:49.156503,2024-01-24 17:48:12.119493,0 days 00:11:22.962990,16,0.99,0.009773856971110023,COMPLETE
11,11,-18.0094584,2024-01-24 17:48:12.119493,2024-01-24 17:54:18.907770,0 days 00:06:06.788277,100,0.9,0.00015926486728967226,PRUNED
12,12,-18.0171336,2024-01-24 17:54:18.908740,2024-01-24 18:00:21.540614,0 days 00:06:02.631874,128,0.95,0.0011882016839811676,PRUNED
13,13,-18.0104349,2024-01-24 18:00:21.541568,2024-01-24 18:06:27.206673,0 days 00:06:05.665105,256,0.995,7.246041445287818e-05,PRUNED
14,14,-9.7620697,2024-01-24 18:06:27.207629,2024-01-24 18:17:56.464770,0 days 00:11:29.257141,512,0.999,0.0005925548612193352,COMPLETE
15,15,-18.0101237,2024-01-24 18:17:56.464770,2024-01-24 18:23:59.103110,0 days 00:06:02.638340,512,0.999,0.003372290365293155,PRUNED
16,16,-18.0114035,2024-01-24 18:23:59.104108,2024-01-24 18:30:02.705667,0 days 00:06:03.601559,512,0.999,0.0006631431075438455,PRUNED
17,17,-18.018588799999996,2024-01-24 18:30:02.706665,2024-01-24 18:36:05.362512,0 days 00:06:02.655847,16,0.999,0.0035222724361412385,PRUNED
18,18,-19.691477999999996,2024-01-24 18:36:05.363465,2024-01-24 18:42:07.626306,0 days 00:06:02.262841,32,0.9,0.0010611276486160541,PRUNED
19,19,-18.021919399999998,2024-01-24 18:42:07.626306,2024-01-24 18:48:10.293636,0 days 00:06:02.667330,64,0.95,3.487089735680343e-05,PRUNED
