   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_buffer_size ,params_exploration_final_eps ,params_exploration_fraction ,params_gamma ,params_learning_rate   ,params_learning_starts ,params_net_arch ,params_subsample_steps ,params_target_update_interval ,params_train_freq ,state
18 ,    18 ,0.25750329999999977 ,2024-01-26 14:08:14.484321 ,2024-01-26 14:13:31.203985 ,0 days 00:05:16.719664 ,              256 ,           1000000 ,        0.19954366808493848  ,       0.24688678881788295  ,      0.98   ,0.0009315797023314564  ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
19 ,    19 ,0.3352275999999996  ,2024-01-26 14:13:31.204987 ,2024-01-26 14:18:48.884330 ,0 days 00:05:17.679343 ,              256 ,           1000000 ,        0.1923653352166701   ,       0.43127116099226803  ,      0.98   ,0.013188236519127499   ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
20 ,    20 ,0.17666349999999956 ,2024-01-26 14:18:48.885331 ,2024-01-26 14:24:06.039467 ,0 days 00:05:17.154136 ,              256 ,           1000000 ,        0.16353646437864724  ,       0.44676500414913123  ,      0.98   ,0.021031632529425526   ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
21 ,    21 ,-1.8228430000000002 ,2024-01-26 14:24:06.040467 ,2024-01-26 14:29:22.464971 ,0 days 00:05:16.424504 ,              256 ,           1000000 ,        0.19561267057130238  ,       0.4151454284913605   ,      0.98   ,0.0012956006095533519  ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
22 ,    22 ,-1.8504588000000008 ,2024-01-26 14:29:22.465970 ,2024-01-26 14:34:38.566943 ,0 days 00:05:16.100973 ,              256 ,           1000000 ,        0.17782477400981211  ,       0.3414772805789497   ,      0.98   ,0.012987247537976445   ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
23 ,    23 ,4.6201170000000005  ,2024-01-26 14:34:38.567943 ,2024-01-26 14:39:55.540466 ,0 days 00:05:16.972523 ,              256 ,           1000000 ,        0.15032284207319108  ,       0.2782916150460703   ,      0.98   ,0.0008872899826749436  ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,COMPLETE
24 ,    24 ,-12.736180200000003 ,2024-01-26 14:39:55.541466 ,2024-01-26 14:42:45.310672 ,0 days 00:02:49.769206 ,              256 ,           1000000 ,        0.14710509442468622  ,       0.4437672183482278   ,      0.98   ,0.23271236333785142    ,                  1000 ,tiny            ,                     4 ,                        15000 ,                8 ,PRUNED
25 ,    25 ,0.27402029999999983 ,2024-01-26 14:42:45.311672 ,2024-01-26 14:48:16.768034 ,0 days 00:05:31.456362 ,               64 ,           1000000 ,        0.15318570008001717  ,       0.38380763705185544  ,      0.995  ,0.010073018862632094   ,                  1000 ,tiny            ,                     4 ,                        15000 ,                1 ,COMPLETE
26 ,    26 ,-1.8880406000000007 ,2024-01-26 14:48:16.769035 ,2024-01-26 14:51:06.516875 ,0 days 00:02:49.747840 ,               32 ,           1000000 ,        0.17975848138746564  ,       0.2908530397195146   ,      0.98   ,0.0023132765518857875  ,                     0 ,tiny            ,                     4 ,                        15000 ,                8 ,PRUNED
27 ,    27 ,2.4230436999999996  ,2024-01-26 14:51:06.517879 ,2024-01-26 14:56:30.029925 ,0 days 00:05:23.512046 ,              256 ,             50000 ,        0.12641808797892778  ,       0.453446236716442    ,      0.98   ,0.00024520948901393306 ,                 10000 ,medium          ,                     2 ,                        15000 ,                8 ,COMPLETE
28 ,    28 ,2.4246288999999996  ,2024-01-26 14:56:30.030926 ,2024-01-26 15:01:52.381625 ,0 days 00:05:22.350699 ,              256 ,             50000 ,        0.124427075311131    ,       0.3729171801890627   ,      0.98   ,0.00023745826722849626 ,                 10000 ,medium          ,                     2 ,                        15000 ,                8 ,COMPLETE
29 ,    29 ,-16.924179600000002 ,2024-01-26 15:01:52.381625 ,2024-01-26 15:04:43.866603 ,0 days 00:02:51.484978 ,              256 ,             50000 ,        0.12788847688703137  ,       0.32622592654728066  ,      0.98   ,0.00023158467449562635 ,                 10000 ,medium          ,                     2 ,                         1000 ,                8 ,PRUNED
30 ,    30 ,2.4147925           ,2024-01-26 15:04:43.866603 ,2024-01-26 15:10:21.277218 ,0 days 00:05:37.410615 ,              256 ,             50000 ,        0.13248416653392636  ,       0.3770385625120488   ,      0.99   ,6.103205136025761e-05  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
31 ,    31 ,2.3780333           ,2024-01-26 15:10:21.278217 ,2024-01-26 15:15:57.469191 ,0 days 00:05:36.190974 ,              256 ,             50000 ,        0.1321524888841482   ,       0.38115881687664643  ,      0.99   ,7.465681994409039e-05  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
32 ,    32 ,2.4254621           ,2024-01-26 15:15:57.470191 ,2024-01-26 15:21:36.275252 ,0 days 00:05:38.805061 ,              256 ,             50000 ,        0.10785750278952841  ,       0.3756059923302566   ,      0.99   ,0.00027412727641958756 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
33 ,    33 ,2.4247794000000003  ,2024-01-26 15:21:36.276253 ,2024-01-26 15:27:13.277374 ,0 days 00:05:37.001121 ,              256 ,             50000 ,        0.1065984597877396   ,       0.2699294010118115   ,      0.99   ,0.0002962427411386671  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
34 ,    34 ,4.6153856           ,2024-01-26 15:27:13.277374 ,2024-01-26 15:32:50.643434 ,0 days 00:05:37.366060 ,              100 ,             50000 ,        0.09288471826772857  ,       0.26191182117488604  ,      0.99   ,0.0004075265138236943  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
35 ,    35 ,4.617097800000001   ,2024-01-26 15:32:50.643434 ,2024-01-26 15:38:27.595059 ,0 days 00:05:36.951625 ,              100 ,             50000 ,        0.10018460297348877  ,       0.16701091372551155  ,      0.99   ,0.00044239050396737285 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
36 ,    36 ,0.26658789999999977 ,2024-01-26 15:38:27.596059 ,2024-01-26 15:41:23.917245 ,0 days 00:02:56.321186 ,              100 ,             50000 ,        0.08716751028619435  ,       0.19101489813310105  ,      0.99   ,0.0005143689473774486  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
37 ,    37 ,0.23268879999999958 ,2024-01-26 15:41:23.918245 ,2024-01-26 15:44:12.368484 ,0 days 00:02:48.450239 ,              100 ,             50000 ,        0.10467812705367877  ,       0.13825988628297486  ,      0.99   ,0.001498050568467679   ,                 10000 ,medium          ,                     2 ,                        10000 ,              256 ,PRUNED
38 ,    38 ,2.427043199999999   ,2024-01-26 15:44:12.369483 ,2024-01-26 15:49:49.769656 ,0 days 00:05:37.400173 ,              100 ,             50000 ,        0.09209153397017358  ,       0.1746586162902766   ,      0.99   ,0.00011357929038942777 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
39 ,    39 ,2.4667915999999996  ,2024-01-26 15:49:49.770656 ,2024-01-26 15:55:28.715376 ,0 days 00:05:38.944720 ,              100 ,             50000 ,        0.07430255701946697  ,       0.0991568787900354   ,      0.99   ,0.00011296273489338995 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
40 ,    40 ,-10.4850543         ,2024-01-26 15:55:28.716379 ,2024-01-26 15:58:20.129556 ,0 days 00:02:51.413177 ,              100 ,             50000 ,        0.07262590663504281  ,       0.08114415749619217  ,      0.9999 ,2.8979523553822784e-05 ,                 10000 ,medium          ,                     2 ,                        10000 ,                4 ,PRUNED
41 ,    41 ,4.6171481000000005  ,2024-01-26 15:58:20.130562 ,2024-01-26 16:03:55.108565 ,0 days 00:05:34.978003 ,              100 ,             50000 ,        0.09119274903807652  ,       0.17644432777156657  ,      0.99   ,0.0007602303405256469  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
42 ,    42 ,4.6110736           ,2024-01-26 16:03:55.109564 ,2024-01-26 16:09:33.820161 ,0 days 00:05:38.710597 ,              100 ,             50000 ,        0.06911684814073969  ,       0.10474048591158233  ,      0.99   ,0.0006005502841038829  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
43 ,    43 ,4.6201653           ,2024-01-26 16:09:33.821161 ,2024-01-26 16:15:11.434965 ,0 days 00:05:37.613804 ,              100 ,             50000 ,        0.06632269798938029  ,       0.2410487525532139   ,      0.99   ,0.0006718622180109642  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
44 ,    44 ,4.1266479           ,2024-01-26 16:15:11.435965 ,2024-01-26 16:20:37.743012 ,0 days 00:05:26.307047 ,              512 ,             50000 ,        0.059735112554515635 ,       0.24436760226659143  ,      0.995  ,0.00473453138234392    ,                     0 ,medium          ,                     2 ,                            1 ,              128 ,COMPLETE
