   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_buffer_size ,params_exploration_final_eps ,params_exploration_fraction ,params_gamma ,params_learning_rate   ,params_learning_starts ,params_net_arch ,params_subsample_steps ,params_target_update_interval ,params_train_freq ,state
83 ,    83 ,-1.9661910000000002 ,2024-01-26 18:48:30.175681 ,2024-01-26 18:51:27.872402 ,0 days 00:02:57.696721 ,               64 ,             50000 ,        0.10064725806461454  ,       0.34685681824104175  ,      0.99   ,0.0006697744152099069  ,                  1000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
84 ,    84 ,0.21102890000000007 ,2024-01-26 18:51:27.873402 ,2024-01-26 18:54:21.928621 ,0 days 00:02:54.055219 ,              100 ,           1000000 ,        0.10813810369992441  ,       0.18839128982987063  ,      0.99   ,0.0018224905696802712  ,                 10000 ,medium          ,                     4 ,                        10000 ,                1 ,PRUNED
85 ,    85 ,-16.9305709         ,2024-01-26 18:54:21.929622 ,2024-01-26 18:57:20.034818 ,0 days 00:02:58.105196 ,              100 ,             10000 ,        0.11810265895271686  ,       0.3267133310336757   ,      0.99   ,0.0003792831109851549  ,                  5000 ,medium          ,                     8 ,                            1 ,                1 ,PRUNED
86 ,    86 ,-12.7733751         ,2024-01-26 18:57:20.035817 ,2024-01-26 19:00:09.227457 ,0 days 00:02:49.191640 ,              100 ,             50000 ,        0.0882708573101765   ,       0.3569025801540864   ,      0.9    ,0.4748896290126961     ,                 10000 ,medium          ,                     2 ,                        15000 ,               16 ,PRUNED
87 ,    87 ,0.1333856999999999  ,2024-01-26 19:00:09.228464 ,2024-01-26 19:03:03.257740 ,0 days 00:02:54.029276 ,              512 ,             50000 ,        0.0988339717657906   ,       0.2198221364011633   ,      0.9999 ,0.0005468124874014579  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
88 ,    88 ,-4.118588699999999  ,2024-01-26 19:03:03.258742 ,2024-01-26 19:05:53.278403 ,0 days 00:02:50.019661 ,               16 ,             50000 ,        0.015807763452737447 ,       0.30091454560644865  ,      0.99   ,0.00022247561476294902 ,                     0 ,tiny            ,                     2 ,                        20000 ,                8 ,PRUNED
89 ,    89 ,2.4253846           ,2024-01-26 19:05:53.279403 ,2024-01-26 19:08:45.600468 ,0 days 00:02:52.321065 ,              100 ,           1000000 ,        0.124819969275955    ,       0.20337947621178487  ,      0.98   ,0.00013775310025908988 ,                  1000 ,medium          ,                     1 ,                        10000 ,              128 ,PRUNED
90 ,    90 ,0.19020049999999983 ,2024-01-26 19:08:45.601469 ,2024-01-26 19:11:32.737925 ,0 days 00:02:47.136456 ,              100 ,            100000 ,        0.1374320631485363   ,       0.2831274943204844   ,      0.99   ,0.0008773974202676034  ,                 10000 ,medium          ,                     4 ,                        10000 ,                4 ,PRUNED
91 ,    91 ,0.22170040000000002 ,2024-01-26 19:11:32.738925 ,2024-01-26 19:14:25.162223 ,0 days 00:02:52.423298 ,              100 ,           1000000 ,        0.09897598610224664  ,       0.3974161350680602   ,      0.9    ,0.0006324281643126298  ,                  5000 ,tiny            ,                     2 ,                         1000 ,                1 ,PRUNED
92 ,    92 ,0.18479349999999953 ,2024-01-26 19:14:25.163222 ,2024-01-26 19:17:18.235710 ,0 days 00:02:53.072488 ,              100 ,           1000000 ,        0.09473199389141986  ,       0.21547537934693975  ,      0.9    ,0.0007967917572032509  ,                  5000 ,tiny            ,                     2 ,                         1000 ,                1 ,PRUNED
93 ,    93 ,-16.9291745         ,2024-01-26 19:17:18.236709 ,2024-01-26 19:20:11.719982 ,0 days 00:02:53.483273 ,              100 ,           1000000 ,        0.08281328021872487  ,       0.24207519067588132  ,      0.9    ,0.00031827850712457895 ,                  5000 ,tiny            ,                     2 ,                         1000 ,                1 ,PRUNED
94 ,    94 ,2.4499458           ,2024-01-26 19:20:11.720980 ,2024-01-26 19:25:44.511031 ,0 days 00:05:32.790051 ,              100 ,           1000000 ,        0.10524641988517713  ,       0.26231434395338493  ,      0.9    ,0.0011228651654072558  ,                  5000 ,tiny            ,                     2 ,                         1000 ,                1 ,COMPLETE
95 ,    95 ,-16.927126599999998 ,2024-01-26 19:25:44.512031 ,2024-01-26 19:28:49.694137 ,0 days 00:03:05.182106 ,              128 ,             50000 ,        0.09026936774910348  ,       0.16475557366544374  ,      0.999  ,0.0004271939275075393  ,                  5000 ,tiny            ,                     2 ,                        15000 ,                1 ,PRUNED
96 ,    96 ,-16.930839900000002 ,2024-01-26 19:28:49.695138 ,2024-01-26 19:31:42.077392 ,0 days 00:02:52.382254 ,               32 ,           1000000 ,        0.11163635725414567  ,       0.14149326336471665  ,      0.99   ,1.565847737639067e-05  ,                 20000 ,medium          ,                     2 ,                         1000 ,             1000 ,PRUNED
97 ,    97 ,2.422569            ,2024-01-26 19:31:42.078391 ,2024-01-26 19:34:33.957655 ,0 days 00:02:51.879264 ,              256 ,             50000 ,        0.0762308251010569   ,       0.2734393632783147   ,      0.95   ,0.0022565209543668955  ,                 10000 ,tiny            ,                     2 ,                        10000 ,                1 ,PRUNED
98 ,    98 ,2.4213421           ,2024-01-26 19:34:33.958657 ,2024-01-26 19:37:27.272467 ,0 days 00:02:53.313810 ,              100 ,             10000 ,        0.09557666345648387  ,       0.23195325600264285  ,      0.99   ,0.000699897867493229   ,                 10000 ,medium          ,                     8 ,                        10000 ,                1 ,PRUNED
99 ,    99 ,2.4144126           ,2024-01-26 19:37:27.273466 ,2024-01-26 19:40:15.486536 ,0 days 00:02:48.213070 ,              100 ,             50000 ,        0.16006582908611694  ,       0.1975346203454512   ,      0.995  ,0.0016675782241840217  ,                 10000 ,small           ,                     2 ,                        20000 ,                8 ,PRUNED
