,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-3.7459437999999983,2024-01-24 14:07:15.648766,2024-01-24 14:14:20.942366,0 days 00:07:05.293600,32,0.9999,7.868715730071239e-05,COMPLETE
1,1,-9.958737199999998,2024-01-24 14:14:20.950366,2024-01-24 14:21:04.076570,0 days 00:06:43.126204,128,0.98,0.0012531656766861263,COMPLETE
2,2,-5.819100299999999,2024-01-24 14:21:04.076570,2024-01-24 14:28:08.921929,0 days 00:07:04.845359,16,0.95,9.746694575880895e-05,COMPLETE
3,3,-7.877892499999999,2024-01-24 14:28:08.921929,2024-01-24 14:34:42.080292,0 days 00:06:33.158363,512,0.995,0.004346860451373074,COMPLETE
4,4,-5.5424840999999985,2024-01-24 14:34:42.080292,2024-01-24 14:41:15.210000,0 days 00:06:33.129708,512,0.999,0.0008792895173387378,COMPLETE
5,5,-1.7223248999999996,2024-01-24 14:41:15.210981,2024-01-24 14:48:04.643830,0 days 00:06:49.432849,32,0.9999,1.173711427926612e-05,COMPLETE
6,6,-1.5604978999999992,2024-01-24 14:48:04.644855,2024-01-24 14:54:52.333220,0 days 00:06:47.688365,32,0.9999,1.4749529471282573e-05,COMPLETE
7,7,-5.792380499999998,2024-01-24 14:54:52.334220,2024-01-24 14:59:02.498560,0 days 00:04:10.164340,8,0.9,1.274597078270178e-05,PRUNED
8,8,-1.5735210999999991,2024-01-24 14:59:02.498560,2024-01-24 15:05:36.095483,0 days 00:06:33.596923,256,0.99,7.893980115566202e-05,COMPLETE
9,9,-11.7884008,2024-01-24 15:05:36.096516,2024-01-24 15:09:08.599801,0 days 00:03:32.503285,64,0.9999,0.00026588582586898636,PRUNED
10,10,-7.6699331000000015,2024-01-24 15:09:08.599801,2024-01-24 15:12:45.670514,0 days 00:03:37.070713,32,0.999,0.008788056802647567,PRUNED
11,11,-7.779565299999999,2024-01-24 15:12:45.671505,2024-01-24 15:16:17.429152,0 days 00:03:31.757647,256,0.99,5.406994795599389e-05,PRUNED
12,12,-12.036254199999998,2024-01-24 15:16:17.431064,2024-01-24 15:19:45.535758,0 days 00:03:28.104694,256,0.99,2.5036263687609825e-05,PRUNED
13,13,-9.9196475,2024-01-24 15:19:45.535758,2024-01-24 15:23:13.941211,0 days 00:03:28.405453,256,0.99,0.0002004872360844238,PRUNED
14,14,-14.0267224,2024-01-24 15:23:13.941211,2024-01-24 15:26:43.149142,0 days 00:03:29.207931,128,0.9,3.1962819865013766e-05,PRUNED
15,15,-7.8054339000000015,2024-01-24 15:26:43.150124,2024-01-24 15:30:14.987896,0 days 00:03:31.837772,64,0.995,3.4524545969721015e-05,PRUNED
16,16,-11.956169400000002,2024-01-24 15:30:14.987896,2024-01-24 15:34:03.904727,0 days 00:03:48.916831,16,0.98,0.0005595792604564602,PRUNED
17,17,-9.961732399999999,2024-01-24 15:34:03.905729,2024-01-24 15:38:11.223528,0 days 00:04:07.317799,8,0.95,0.00013727045679159215,PRUNED
18,18,-5.5185165,2024-01-24 15:38:11.223528,2024-01-24 15:41:48.247137,0 days 00:03:37.023609,32,0.9999,1.2106005454292377e-05,PRUNED
