,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
0,0,-19.691477999999996,2024-01-24 13:48:40.692349,2024-01-24 13:54:15.372836,0 days 00:05:34.680487,128,0.95,0.005662980373937452,COMPLETE
1,1,-3.540843,2024-01-24 13:54:15.383174,2024-01-24 13:59:28.248161,0 days 00:05:12.864987,100,0.99,1.0162823018284275e-05,COMPLETE
2,2,-18.0210895,2024-01-24 13:59:28.249162,2024-01-24 14:04:41.721441,0 days 00:05:13.472279,32,0.995,0.00392097219541764,COMPLETE
3,3,-13.982517900000001,2024-01-24 14:04:41.721441,2024-01-24 14:09:53.863522,0 days 00:05:12.142081,256,0.99,0.002124761537704034,COMPLETE
4,4,-18.0167384,2024-01-24 14:09:53.864523,2024-01-24 14:15:11.858861,0 days 00:05:17.994338,128,0.9,2.0596216070498022e-05,COMPLETE
5,5,-19.691477999999996,2024-01-24 14:15:11.858861,2024-01-24 14:18:00.482365,0 days 00:02:48.623504,100,0.99,1.4740515909502286e-05,PRUNED
6,6,-9.7739891,2024-01-24 14:18:00.482365,2024-01-24 14:23:12.411074,0 days 00:05:11.928709,100,0.9999,8.601680921327169e-05,COMPLETE
7,7,-18.0075671,2024-01-24 14:23:12.412076,2024-01-24 14:25:56.337987,0 days 00:02:43.925911,16,0.98,0.0003306446529927998,PRUNED
8,8,-18.0135476,2024-01-24 14:25:56.337987,2024-01-24 14:28:39.657246,0 days 00:02:43.319259,512,0.99,0.00027467114693259027,PRUNED
9,9,-18.019727300000003,2024-01-24 14:28:39.658245,2024-01-24 14:31:22.916268,0 days 00:02:43.258023,64,0.999,5.3228474071271184e-05,PRUNED
10,10,-9.7333368,2024-01-24 14:31:22.917273,2024-01-24 14:36:27.712529,0 days 00:05:04.795256,100,0.98,0.0006218182428566592,COMPLETE
11,11,-16.0377653,2024-01-24 14:36:27.713528,2024-01-24 14:39:10.819163,0 days 00:02:43.105635,100,0.98,0.0008311820777781343,PRUNED
12,12,-18.0128928,2024-01-24 14:39:10.820163,2024-01-24 14:41:54.478095,0 days 00:02:43.657932,100,0.98,0.0008522153575696862,PRUNED
13,13,-18.0876655,2024-01-24 14:41:54.479096,2024-01-24 14:44:37.424164,0 days 00:02:42.945068,100,0.995,0.00013279618635910688,PRUNED
14,14,-18.014309500000003,2024-01-24 14:44:37.424164,2024-01-24 14:47:20.299039,0 days 00:02:42.874875,16,0.999,0.0009287608917380834,PRUNED
15,15,-19.691477999999996,2024-01-24 14:47:20.300040,2024-01-24 14:50:03.505054,0 days 00:02:43.205014,32,0.9999,3.123774668739777e-05,PRUNED
16,16,-18.0219502,2024-01-24 14:50:03.506058,2024-01-24 14:52:46.974525,0 days 00:02:43.468467,256,0.95,0.000215586382244223,PRUNED
17,17,-19.4874212,2024-01-24 14:52:46.975527,2024-01-24 14:55:30.252957,0 days 00:02:43.277430,512,0.9,1.1391365448506292e-05,PRUNED
18,18,-7.740730099999999,2024-01-24 14:55:30.253957,2024-01-24 15:00:36.272776,0 days 00:05:06.018819,64,0.98,0.009220378327989994,COMPLETE
19,19,-18.017711600000002,2024-01-24 15:00:36.283341,2024-01-24 15:03:19.696650,0 days 00:02:43.413309,64,0.99,0.008343865239186015,PRUNED
20,20,-19.691477999999996,2024-01-24 15:03:19.697649,2024-01-24 15:06:03.788823,0 days 00:02:44.091174,64,0.98,0.0026501844370145663,PRUNED
21,21,-19.691477999999996,2024-01-24 15:06:03.788823,2024-01-24 15:08:48.445206,0 days 00:02:44.656383,64,0.98,0.0017162555512715183,PRUNED
22,22,-18.0214538,2024-01-24 15:08:48.446206,2024-01-24 15:11:31.727986,0 days 00:02:43.281780,100,0.98,0.000420392073106492,PRUNED
23,23,-18.0136688,2024-01-24 15:11:31.727986,2024-01-24 15:14:15.096479,0 days 00:02:43.368493,100,0.98,7.22074622419387e-05,PRUNED
24,24,-19.691477999999996,2024-01-24 15:14:15.096479,2024-01-24 15:16:58.194014,0 days 00:02:43.097535,64,0.99,0.0005592824269368699,PRUNED
25,25,-18.0099564,2024-01-24 15:16:58.194014,2024-01-24 15:19:41.742757,0 days 00:02:43.548743,100,0.98,3.70165693099728e-05,PRUNED
26,26,-18.0141839,2024-01-24 15:19:41.742757,2024-01-24 15:22:26.178527,0 days 00:02:44.435770,32,0.995,0.009511992984455854,PRUNED
27,27,-18.0207519,2024-01-24 15:22:26.178527,2024-01-24 15:25:09.974517,0 days 00:02:43.795990,256,0.9,0.00013546885061003043,PRUNED
28,28,-18.0172414,2024-01-24 15:25:09.975519,2024-01-24 15:27:54.012024,0 days 00:02:44.036505,128,0.95,0.004427504241926506,PRUNED
29,29,-11.790386799999997,2024-01-24 15:27:54.012024,2024-01-24 15:32:59.363973,0 days 00:05:05.351949,512,0.9999,0.0011504554109162115,COMPLETE
30,30,-18.0245867,2024-01-24 15:32:59.364973,2024-01-24 15:35:43.629994,0 days 00:02:44.265021,16,0.999,0.00013665798371845274,PRUNED
31,31,-19.691477999999996,2024-01-24 15:35:43.629994,2024-01-24 15:38:27.195850,0 days 00:02:43.565856,100,0.9999,6.920669723303822e-05,PRUNED
32,32,-18.016170600000002,2024-01-24 15:38:27.196848,2024-01-24 15:41:10.268214,0 days 00:02:43.071366,100,0.9999,2.3884689483858242e-05,PRUNED
33,33,-13.903686399999998,2024-01-24 15:41:10.269215,2024-01-24 15:43:54.012429,0 days 00:02:43.743214,100,0.9999,0.0030337617208747733,PRUNED
34,34,-5.541004599999999,2024-01-24 15:43:54.022675,2024-01-24 15:48:59.312944,0 days 00:05:05.290269,128,0.99,0.0060445563738273315,COMPLETE
35,35,-14.0207402,2024-01-24 15:48:59.312944,2024-01-24 15:51:43.569287,0 days 00:02:44.256343,128,0.99,0.006610769480634826,PRUNED
36,36,-11.9171826,2024-01-24 15:51:43.570289,2024-01-24 15:54:27.619302,0 days 00:02:44.049013,128,0.99,0.005075323423984812,PRUNED
